Method,Basis set,ZPE,H(T)-H(0),S(T),Source
M05-2X,"6-311+G(d,p)",0.9658,0.9467,0.9398,10.1021/jp073974n
M05-2X,"6-31G(2df,p)",0.9657,0.9321,0.9239,10.1021/jp073974n
M05-2X,6-31G(d),0.958,0.947,0.9425,10.1021/jp073974n
M05-2X,pc-0,0.9635,1.006,0.97,10.1002/jcc.23073
M05-2X,pc-1,0.9656,1.047,1.043,10.1002/jcc.23073
M05-2X,pc-2,0.9661,1.056,1.052,10.1002/jcc.23073
M05-2X,pc-3,0.9676,1.051,1.041,10.1002/jcc.23073
M05-2X,pc-4,0.967,1.036,1.036,10.1002/jcc.23073
M06,pc-0,0.986,0.9945,0.9744,10.1002/jcc.23073
M06,pc-1,0.9863,1.042,1.052,10.1002/jcc.23073
M06,pc-2,0.9849,1.05,1.056,10.1002/jcc.23073
M06,pc-3,0.9829,1.044,1.045,10.1002/jcc.23073
M06,pc-4,0.9853,1.007,1.007,10.1002/jcc.23073
M06-2X,pc-0,0.9737,0.9969,0.9691,10.1002/jcc.23073
M06-2X,pc-1,0.9728,1.05,1.052,10.1002/jcc.23073
M06-2X,pc-2,0.9728,1.059,1.061,10.1002/jcc.23073
M06-2X,pc-3,0.9734,1.054,1.054,10.1002/jcc.23073
M06-2X,pc-4,0.9733,1.055,1.054,10.1002/jcc.23073
MP2,"6-31+G(d,p)",0.9657,1.0198,1.0334,10.1021/jp073974n
MP2,"6-311+G(2df,p)",0.9777,0.9826,0.9908,10.1021/jp073974n
MP2,"6-311+G(d,p)",0.9768,1.0071,1.0158,10.1021/jp073974n
MP2,"6-31G(2df,p)",0.9678,0.9823,0.9858,10.1021/jp073974n
MP2,6-31G(d),0.967,1.0059,1.0178,10.1021/jp073974n
MP2,aug-cc-pVDZ,0.9675,0.9473,0.9049,10.1021/jp048233q
MP2,aug-cc-pVQZ,0.9959,0.9658,0.9264,10.1021/jp048233q
MP2,aug-cc-pVTZ,0.983,0.9901,0.9467,10.1021/jp048233q
MP2,cc-pVDZ,0.9784,0.9796,0.9379,10.1021/jp048233q
MP2,cc-pVQZ,0.9943,0.9957,0.9575,10.1021/jp048233q
MP2,cc-pVTZ,0.9832,0.9907,0.9477,10.1021/jp048233q
MP2b,6-31+G(d),0.9723,1.0266,1.0579,10.1021/jp073974n
MP2b,"6-31+G(d,p)",0.9657,1.0198,1.0334,10.1021/jp073974n
MP2b,"6-311++G(3df,3pd)",0.9793,0.9947,0.9983,10.1021/jp073974n
MP2b,"6-311+G(2d,p)",0.9793,1.004,1.008,10.1021/jp073974n
MP2b,"6-311+G(3d,p)",0.9783,1.0061,1.0097,10.1021/jp073974n
MP2b,"6-311+G(3df,2p)",0.9763,0.9916,0.9952,10.1021/jp073974n
MP2b,"6-311+G(3df,3pd)",0.9791,0.9943,0.9978,10.1021/jp073974n
MP2b,"6-311+G(3df,p)",0.9774,0.9918,0.9953,10.1021/jp073974n
MP2b,6-311+G(d),0.9792,1.0206,1.0437,10.1021/jp073974n
MP2b,"6-311+G(d,p)",0.9768,1.0071,1.0158,10.1021/jp073974n
MP2b,6-311G(d),0.9763,1.0045,1.0143,10.1021/jp073974n
MP2b,"6-311G(d,p)",0.9748,0.9946,0.9985,10.1021/jp073974n
MP2b,6-31G(d),0.967,1.0059,1.0178,10.1021/jp073974n
MP2b,"6-31G(d,p)",0.9606,1.0003,1.0077,10.1021/jp073974n
MP2b,aug-cc-pVDZ,0.9878,1.0359,1.0452,10.1021/jp073974n
MP2b,aug-cc-pVTZ,0.9822,1.0067,1.0114,10.1021/jp073974n
MP2b,cc-pVDZ,0.9782,1.002,1.0042,10.1021/jp073974n
MP2b,cc-pVTZ,0.9771,0.9919,0.996,10.1021/jp073974n
